origin_czone,n_trips,n_escorted,escort_rate,pop_count,pop_weight,escort_rate_pct
11,38,22,0.5789473684210527,0.0,0.0,57.9
12,45,15,0.3333333333333333,0.0,0.0,33.3
13,10,5,0.5,0.0,0.0,50.0
21,213,126,0.5915492957746479,0.0,0.0,59.2
22,111,59,0.5315315315315315,0.0,0.0,53.2
23,71,43,0.6056338028169014,0.0,0.0,60.6
24,34,10,0.29411764705882354,0.0,0.0,29.4
31,17,4,0.23529411764705882,0.0,0.0,23.5
32,16,5,0.3125,0.0,0.0,31.2
33,39,13,0.3333333333333333,0.0,0.0,33.3
34,28,12,0.42857142857142855,0.0,0.0,42.9
35,74,31,0.4189189189189189,0.0,0.0,41.9
41,126,56,0.4444444444444444,0.0,0.0,44.4
42,52,39,0.75,0.0,0.0,75.0
43,47,27,0.574468085106383,0.0,0.0,57.4
44,33,22,0.6666666666666666,0.0,0.0,66.7
45,59,29,0.4915254237288136,0.0,0.0,49.2
46,51,30,0.5882352941176471,0.0,0.0,58.8
47,25,10,0.4,0.0,0.0,40.0
51,131,66,0.5038167938931297,0.0,0.0,50.4
52,91,54,0.5934065934065934,0.0,0.0,59.3
53,63,33,0.5238095238095238,0.0,0.0,52.4
54,74,38,0.5135135135135135,0.0,0.0,51.4
55,39,22,0.5641025641025641,0.0,0.0,56.4
56,62,26,0.41935483870967744,0.0,0.0,41.9
57,61,30,0.4918032786885246,0.0,0.0,49.2
58,31,16,0.5161290322580645,0.0,0.0,51.6
61,55,29,0.5272727272727272,0.0,0.0,52.7
62,44,25,0.5681818181818182,0.0,0.0,56.8
63,37,18,0.4864864864864865,0.0,0.0,48.6
64,45,21,0.4666666666666667,0.0,0.0,46.7
65,81,38,0.4691358024691358,0.0,0.0,46.9
66,76,40,0.5263157894736842,0.0,0.0,52.6
71,77,36,0.4675324675324675,0.0,0.0,46.8
72,102,46,0.45098039215686275,0.0,0.0,45.1
73,88,53,0.6022727272727273,0.0,0.0,60.2
